text,polarite
"Etudiant en droit et passionné de criminologie, je me suis penché sur ce documentaire avec intérêt et je puis vous affirmer que côté fond juridique, ce qui est dit est toujours exact mais ce qui fait encore plus peur c'est lorsque l'on sait que les erreurs effarantes pointées par le documentaire ne sauteraient peut-être pas aux yeux si on avait vu tout le procès, de telle sorte que ces erreurs qui peuvent choquer le profane en droit ne seraient pas si exceptionnelles que cela, bien que certaines erreurs relèvent plus de la faute professionnelle qu'autre chose (les questions dirigées lors de l'interrogatoire par exemple). Mais je vais cesser de vous bassiner avec des questions juridiques et je vais me pencher sur les autres aspects : niveau montage et ""mise en scène"", c'est très bien fait donc on suit avec passion l'enquête et les témoignages qui apportent tous quelque chose : du profiler du département des sciences criminelles du FBI aux artistes engagés dans la lutte pour un procès plus équitable. Et puis les témoignages sont pris à tous les niveaux de l'enquête et de chaque côté du tribunal. Ainsi, on a une véritable vue d'ensemble de tout le procès, ce qui est formidable et passionant ! Donc West of Memphis est un documentaire qui mérite qu'on s'y intéresse du moment que le monde juridique ou criminel vous intéresse ou même si vous aimez les documentaires qui vous bousculent à la manière de Michael Moore.",positif
"On a tous besoin de regarder un horrible nanar de temps en temps, d'ailleurs sans mauvais films, on ne saurait pas profiter des bons! Si vous avez besoin de voir ce que le cinéma peut faire de plus affligeant, voilà sans doute LE film le plus pourri que nous ont pondu les studios hollywoodiens dans les années 80: Avec son scenario digne d'une propagande ultrapatriotique décérébrée, ses effets spéciaux ultra-kitchs, ses acteurs qui, à commencer par un Chuck Norris plus ridicule que jamais, ne font que se forcer à réciter leurs dialogues grotesques et sa mise en scène incohérente, le film aurait de quoi être risible s'il ne se prenait pas au sérieux. Quouoi qu'il en soit, si aujourd'hui on la considère comme un navet culte ou comme un échec artistique à fuir comme la peste, cette purge a pleinement méritée sa réputation.",négatif
"Attention, cet avis contient des spoilers tels que :pour perdre du poids, faut attraper le sida ou faire du cinéma.Chouette un biopic, un truc souvent guindé et frileux, tourné pour raconter une Histoire petite ou grande sur toile parce que bon, lire des livres...Mais parfois, un réalisateur affiche un avis tranché sur la question. Ici Jean-Marc Vallée ressuscite la fureur de vivre, le majeur bien dressé contre la mort, contre le système, contre soi-même avec ironie, mordant et légèreté. Moralité : C'est face à l'obstacle que se révèle le cheval (valable aussi pour les taureaux?).",positif
"J'ai vu ce film à 14 ans : j'ai été choquée bien sûr, car c'est après tout l'effet principal recherché. Et sinon ? Rien. Le scénario n'est pas bien intéressant, et les acteurs non plus - excepté le personnage de la mère, particulièrement bien joué. Baser un film sur le désir de choquer les spectateurs, je n'y vois aucun intérêt - tout comme regarder un tel film : le personnage de Tracy est très loin de représenter la majorité des adolescentes de son âge, ce qui n'attire pas forcément la sympathie du public, mais en plus il n'est pas charismatique. Résultat : un film ennuyeux et sans intérêt.",négatif
Film absolument génial pour l'époque ! A voir absolument !,positif
"Même les plus grands passent par la case gros navet. Et A. Pacino ne déroge pas à la règle ! Voilà une simple petite méprise qui devait initialement partir d'un bon sentiment mais qui déboucha rapidement sur une amnésie foudroyante. Parce qu'il y a de quoi vouloir l'oublier celui-là, mais pouvoir le faire est une autre paire de manches ! Gros plantage malheureusement mémorable pour ma part ...",négatif
"Typé plus ""téléfilm"" qu'oeuvre cinématographique. Fais divers véritable, traité sans saveurs. A noté, la beauté de Paz Vega. 1 étoile et demie.",négatif
"Amis des nanars, bonsoir! Enter Zombie King! ou Zombie King and the Legion of Doom ou bien Zombie Beach Party est un de ces petits bijoux nanardesques qu'on aime à se mater un lendemain de fête avec quelques potes : Hommage mêlé aux films de zombies, désormais cultes, et Ô surprise aux films de catch mexicain, Zombie King remplit le contrat : Du gore, du sexy, du catch et du rock'n'roll! Sorte de petit film nerveux, réalisé par un clone de Robert Rodriguez sous acide, déjanté, à l'humour potache mais dont le délire est assumé jusqu'au bout, Zombie King à aussi le mérite de se laisser regarder sans effort, pour peu qu'on adhère à l'esprit du film... Bastons épiques dignes de la lucha libre, caricatures de héros gardant leurs masques même pour dormir, zombies affamés, têtes décapitées et dialogues cultes (""French Vixen! Comment ne me suis-je pas doutée que tu étais derrière tout ça?..."" ""Peut-être parce que tu n'as pas inventé l'eau tiède..."") ce long métrage ne laisse pas indifférent et étonne par son côté décalé, même pour un nanar : Mercedez s'installe sur une chaise longue portant juste son masque et un bikini... alors qu'il neige! Quelques minutes plus tard, nos deux héros sont sur un bateau... piloté par une femme topless, alors que sa copine nettoie les carreaux entièrement nue! Ajoutez à cela un peu de gore et surtout beaucoup de catch et vous obtenez un bon p'tit film sans prise de tête... Film dédié d'ailleurs à Stan Lee et Jack Kirby, créateurs de nombreux comics Marvel et surtout au Grand Maître des Zombies, George Romero himself! A voir entre potes et avec de la bière...",positif
"Entre ses séquences de combats guère inspirées, son histoire qui manque de rebondissements et la piètre qualité de ses effets spéciaux, ce long métrage des frêres Pang (qui est la suite de «The Storm Riders ») s’avère bien médiocre et pas franchement très fun à suivre. Reste tout de même la bonne interprétation du casting pour sauver l’ensemble du naufrage.",négatif
"Et encore un autre chef-d'oeuvre de William A. Wellman. Massacré au montage par les grands pontes de la MGM (on se doute des coupures...), le film n'en reste pas moins d'une richesse inouïe. Jamais avant cet ""Au-delà du Missouri"", on n'entendit le dialecte indien sur le grand écran hollywoodien. Wellman crée un précédent dans lequel s'engouffreront bientôt tous les plus grands. On pense ici en visionnant cette oeuvre au grand Arthur Penn qui réalisa plus tard ""Little Big Man"" et ""Le Gaucher""... Vingt ans plus tôt, Wellman ouvrit la voie du western naturaliste, quasi ethnologique, dans lequel l'homme, le pionnier, l'aventurier, prend toute sa dimension. Plus qu'un film, Wellman réalise ici une sorte de parabole où la fureur de l'homme vient comme un caillou dans une longue rivière sauvage. Gable trouve là un de ses plus grands rôles. Maria Elena Marques, dans le rôle de sa jeune épouse indienne, est tout simplement magnifique. Du très grand cinéma.",positif
